"oCiType","oName","LocId","osType","osName","Domain","Operating_System"
"MSSQL.SRV","CCSQL","SRB.BGD.SS","OS.VM","CCSQL","deltabank","Microsoft Windows 2008 R2 Standard"
"MSSQL.SRV","DBRP02","PRM.CED","OS.VM","DBRP02","deltabank","Microsoft Windows 2012 R2 Standard"
"MSSQL.SRV","eboard","PRM.CED","OS.VM","EBOARD","deltabank","Microsoft Windows 2012 R2 Standard"
"MSSql.SRV","FDDB","PRM.CED","OS.VM","FDDB","deltabank","Microsoft Windows 2016 Standard"
"MSSQL.SRV","HobitDB\WBSQL","PRM.CED","","HOBITDB","",""
"MSSQL.SRV","HOMERDB","PRM.CED","OS.VM","HOMERDB","deltabank","Microsoft Windows 2016 Standard"
"MSSQL.SRV","IAM12-SQL","PRM.CED","OS.VM","IAM12-SQL","deltabank","Microsoft Windows 2012 Standard"
"MSSQL.SRV","iam-bi2","PRM.CED","OS.VM","IAM-BI2","deltabank","Microsoft Windows 2008 R2 Standard"
"MSSQL.SRV","ilmt","PRM.CED","OS.VM","ILMT","deltabank","Microsoft Windows 2008 R2 Standard"
"MSSQL.SRV","INV-DB-01","PRM.CED","OS.VM","INV-DB-01","deltabank","Microsoft Windows 2016 Standard"
"MSSQL.SRV","Leasing2","PRM.CED","OS.VM","LEASING2","deltabank","Microsoft Windows 2012 R2 Standard"
"MSSQL.SRV","LibraSrv","PRM.CED","OS.VM","LIBRASRV","deltabank","Microsoft Windows 2008 R2 Standard"
"MSSQL.SRV","LSSRV\I2008","PRM.CED","","LSSRV","",""
"MSSQL.SRV","LSSRV\I2008R2","PRM.CED","","LSSRV","",""
"MSSQL.SRV","LSSRV\I2012","PRM.CED","","LSSRV","",""
"MSSQL.SRV","LSSRV\I2014","PRM.CED","","LSSRV","",""
"MSSQL.SRV","MNG-BG-01","SRB.BGD.SS","OS.VM","MNG-BG-01","deltabank","Microsoft Windows 2008 R2 Standard"
"mssql.srv","OCRSQL","PRM.CED","","OCR-NODE22","",""
"MSSQL.SRV","OCTOPUS","PRM.CED","OS.VM","OCTOPUS","deltabank","Microsoft Windows 2016 Standard"
"mssql.srv","ONLINESQL\ONLINESQL","PRM.CED","","ONLINE-NODE22","",""
"mssql.srv","PPSQL","PRM.CED","","WBNODE2","",""
"MSSQL.SRV","ProjectSQL","PRM.CED","OS.VM","PROJECTSQL","deltabank","Microsoft Windows 2008 R2 Standard"
"MSSQL.SRV","SCCM-BG-01","SRB.BGD.SS","OS.VM","SCCM-BG-01","deltabank","Microsoft Windows 2012 R2 Standard"
"MSSQL.SRV","SE-BG-SQL","SRB.BGD.SS","OS.VM","SE-BG-SQL","deltabank","Microsoft Windows 2008 R2 Enterprise"
"MSSQL.SRV","se-secsql2","SRB.SEC","OS.VM","SE-SECSQL2","deltabank","Microsoft Windows 2008 R2 Standard"
"MSSQL.SRV","SPAZIO","PRM.CED","OS.VM","SPAZIO","deltabank","Microsoft Windows 2012 R2 Standard"
"MSSQL.SRV","SSEBANK1\SQLEXPRESS","PRM.CED","","SSEBANK1","",""
"MSSQL.SRV","SSEBANK2\SQLEXPRESS","PRM.CED","","SSEBANK2","",""
"mssql.srv","SYSSQL","SRB.BGD.SS","","SYSSQL12-NODE2","",""
"mssql.srv","TATA","PRM.CED","","EBANK-NODE22","",""
"MSSQL.SRV","TFSERVERSQL","PRM.CED","OS.VM","TFSERVERSQL","deltabank","Microsoft Windows 2012 R2 Standard"
"MSSQL.SRV","WB6\WBSQL","PRM.CED","","WB6","",""
"mssql.srv","wbsql\wbsql","PRM.CED","","WBNODE2","",""
"MSSQL.SRV","WRPSQLNode1\WRPSQL","PRM.CED","","WRPSQLNODE1","",""
"MSSQL.SRV","WRPSQLNode2\WRPSQL","PRM.CED","","WRPSQLNODE2","",""
"MSSQL.SRV","WWW-SQL-01","PRM.CED","OS.VM","WWW-SQL-01","WORKGROUP","Microsoft Windows 2012 R2 Standard"
"MSSQL.SRV","XENAPP-DB1","PRM.CED","OS.VM","XENAPP-DB1","deltabank","Microsoft Windows 2003 Standard"
