#TYPE Selected.VMware.VimAutomation.ViCore.Impl.V1.AnnotationManagement.AnnotationImpl
"Value","AnnotatedEntity"
"Thu Jul 20 18:02:17 2017
,bib-master,vmware_noprod_be-vce-bib_daily","Ob-adapter2"
"Thu Jul 20 18:02:28 2017
,bib-master,vmware_noprod_be-vce-bib_daily","bibco-app1"
"Thu Jul 20 18:50:22 2017
,bib-master,vmware_noprod_be-vce-bib_daily","mx-out-02"
"Thu Jul 20 18:02:20 2017
,bib-master,vmware_noprod_be-vce-bib_daily","ob-adapter-vip"
"Thu Jul 20 18:57:33 2017
,bib-master,vmware_noprod_be-vce-bib_daily","OCR7-PS-06"
"Thu Jul 20 19:02:39 2017
,bib-master,vmware_noprod_be-vce-bib_daily","Obr7-Mas-03"
"Thu Jul 20 18:40:50 2017
,bib-master,vmware_noprod_be-vce-bib_daily","OCR7-PS-17"
"Thu Jul 20 19:12:40 2017
,bib-master,vmware_noprod_be-vce-bib_daily","APSLoan"
"Thu Jul 20 19:07:14 2017
,bib-master,vmware_noprod_be-vce-bib_daily","COMMSERVER02"
"Thu Jul 20 19:15:54 2017
,bib-master,vmware_noprod_be-vce-bib_daily","OBR7-MAS-29"
"Thu Jul 20 18:46:24 2017
,bib-master,vmware_noprod_be-vce-bib_daily","AML-RT-01"
"Thu Jul 20 18:46:58 2017
,bib-master,vmware_noprod_be-vce-bib_daily","DD-App"
"Thu Jul 20 18:09:45 2017
,bib-master,vmware_noprod_be-vce-bib_daily","HomerDB"
"Thu Jul 20 18:56:49 2017
,bib-master,vmware_noprod_be-vce-bib_daily","OCR7-PS-07"
"Thu Jul 20 18:19:05 2017
,bib-master,vmware_noprod_be-vce-bib_daily","ns2"
"Thu Jul 20 18:59:06 2017
,bib-master,vmware_noprod_be-vce-bib_daily","dconline81"
"Thu Jul 20 18:12:45 2017
,bib-master,vmware_noprod_be-vce-bib_daily","wsaCrintesa02"
"Thu Jul 20 19:12:52 2017
,bib-master,vmware_noprod_be-vce-bib_daily","DBPARMA"
"Thu Jul 20 18:37:51 2017
,bib-master,vmware_noprod_be-vce-bib_daily","mobi-web-1"
"Thu Jul 20 18:51:20 2017
,bib-master,vmware_noprod_be-vce-bib_daily","PRGMAS01"
"Thu Jul 20 18:15:36 2017
,bib-master,vmware_noprod_be-vce-bib_daily","Broker"
"Thu Jul 20 18:32:46 2017
,bib-master,vmware_noprod_be-vce-bib_daily","Foglight12"
"Thu Jul 20 19:07:38 2017
,bib-master,vmware_noprod_be-vce-bib_daily","Obr7-Mas-31"
"Thu Jul 20 18:28:04 2017
,bib-master,vmware_noprod_be-vce-bib_daily","identikey2"
"Thu Jul 20 19:09:52 2017
,bib-master,vmware_noprod_be-vce-bib_daily","OBR7-MAS-19"
"Sat Jul 01 22:22:00 2017
,bib-master,vmware_noprod_be-vce-bib_weekly","CrispWeb2"
"Thu Jul 20 18:23:34 2017
,bib-master,vmware_noprod_be-vce-bib_daily","ns3"
"Thu Jul 20 18:31:45 2017
,bib-master,vmware_noprod_be-vce-bib_daily","DLP-NETDISC-ITA"
"Thu Jul 20 19:07:01 2017
,bib-master,vmware_noprod_be-vce-bib_daily","Obr7-Mas-13"
"Thu Jul 20 18:45:54 2017
,bib-master,vmware_noprod_be-vce-bib_daily","PRGMAS10"
"Thu Jul 20 19:07:58 2017
,bib-master,vmware_noprod_be-vce-bib_daily","Obr7-Mas-30"
"Thu Jul 20 18:22:57 2017
,bib-master,vmware_noprod_be-vce-bib_daily","ntp-dmz1"
"Thu Jul 20 18:43:08 2017
,bib-master,vmware_noprod_be-vce-bib_daily","card-mas-05"
"Thu Jul 20 19:02:40 2017
,bib-master,vmware_noprod_be-vce-bib_daily","Obr7-Mas-02"
"Thu Jul 20 18:42:19 2017
,bib-master,vmware_noprod_be-vce-bib_daily","spk2retail-02"
"Thu Jul 20 18:01:33 2017
,bib-master,vmware_noprod_be-vce-bib_daily","OBR7-MAS-12"
"Thu Jul 20 18:18:34 2017
,bib-master,vmware_noprod_be-vce-bib_daily","mPayment"
"Thu Jul 20 19:11:20 2017
,bib-master,vmware_noprod_be-vce-bib_daily","BIBCo-SC1"
"Thu Jul 20 18:02:16 2017
,bib-master,vmware_noprod_be-vce-bib_daily","ADAPTER7"
"Thu Jul 20 18:43:47 2017
,bib-master,vmware_noprod_be-vce-bib_daily","OBR-MAS-16"
"Thu Jul 20 18:04:54 2017
,bib-master,vmware_noprod_be-vce-bib_daily","card0008"
"Thu Jul 20 18:45:05 2017
,bib-master,vmware_noprod_be-vce-bib_daily","OCR7-PS-15"
"Thu Jul 20 18:54:07 2017
,bib-master,vmware_noprod_be-vce-bib_daily","BI-Report2"
"Thu Jul 20 18:56:10 2017
,bib-master,vmware_noprod_be-vce-bib_daily","OCR7-PS-14"
